Title,Content,Detected Language,Predicted Sentiment,Actual Sentiment
Sabah Perkasa Kesedaran Alam Sekitar,usaha meningkatkan kesedaran dan tindakan terhadap kelestarian alam sekitar diperkasa di sabah melalui majlis sambutan hari alam sekitar negara hasn 2024 yang berlangsung di hotel pan pacific sutera harbour di sini semalam menteri pelancongan kebudayaan dan alam sekitar sabah datuk christina liew menyampaikan penghargaan kepada pelbagai pihak yang telah menyokong inisiatif alam sekitar negeri ini beliau mengiktiraf sokongan daripada petronas shell unicef axiata dan ptt exploration and production pttep yang memainkan peranan penting dalam mendorong usaha pembangunan lestari di sabah christina menekankan bahawa perlindungan alam sekitar memerlukan kerjasama menyeluruh daripada semua pihak beliau juga memuji peranan sekolah ibu bapa komuniti setempat dan rakan media dalam mempromosikan kesedaran alam sekitar sambil menyatakan bahawa sabah berada di landasan yang tepat dengan sokongan padu daripada masyarakat isu alam sekitar termasuk pemuliharaan dan perlindungan kini lebih relevan berbanding dahulu ketika saya masih kecil katanya menyeru masyarakat untuk memahami dan bertindak dalam melindungi alam sekitar demi generasi akan datang sambutan hasn di sabah kali ini disambut dalam skala besar untuk kali pertama kerana sambutan tersebut sebelumnya hanya diadakan secara kecilkecilan di sekolahsekolah sekali gus menegaskan komitmen sabah untuk masa depan alam sekitar yang lebih mapan majlis malam tersebut turut memberi pengiktirafan kepada program seperti sekolah rakan alam sekitar serasi dan projek aquams yang telah memberi impak besar di peringkat tempatan kebangsaan dan antarabangsa sekolahsekolah seperti sm st michael penampang dan sm st patrick tawau menerima anugerah atas dedikasi mereka terhadap kelestarian alam sekitar termasuk anugerah di peringkat kebangsaan dan asean christina juga mengucapkan tahniah kepada penerima anugerah seperti pengetua cemerlang puan jennifer asing serta beberapa sekolah dan organisasi tempatan lain yang dihargai atas sumbangan mereka dalam memajukan kelestarian alam sekitar di sabah beliau menggalakkan kerjasama berterusan untuk melindungi alam sekitar negeri itu sambil berkata bersamasama kita boleh memastikan sabah kekal sebagai mercu biodiversiti dan contoh bagi pelancongan lestari serta pemuliharaan,ms,positive,
Jerebu akibat pembakaran terbuka di Sabah semakin membimbangkan,keadaan jerebu akibat pembakaran terbuka di negeri ini semakin membimbangkan walaupun bacaan indeks pencemaran udara ipu di negeri ini kebanyakannya pada tahap sihat timbalan pengarah jabatan bomba dan penyelamat malaysia jbpm sabah farhan sufyan borhan berkata meskipun tahap kualiti udara di negeri itu masih tidak berbahaya penduduk harus menghentikan pembakaran terbuka bagi memastikan kualiti udara bertambah baik jerebu dan kualiti udara kita pada masa ini amat membimbangkan malah pembakaran terbuka terutama melibatkan hutan dan belukar barubaru ini lebih teruk berbanding sebelumnya kita harapkan kerjasama semua supaya tidak lakukan pembakaran terbuka katanya beliau berkata kepada pemberita pada operasi memadam kebakaran terbuka di menggatal di sini yang merupakan kes kebakaran ke10 dihadapi pasukan itu hari ini semalam pengarah jbpm sabah abdul razak muda berkata pihaknya merekodkan 961 kes kebakaran terbuka sejak januari lepas hingga semalam melibatkan kes kebakaran belukar lalang kebun ladang hutan dan gambut di seluruh sabah menurut laman sesawang jabatan alam sekitar hanya kimanis di papar iaitu kirakira 62 kilometer dari kota kinabalu mencatat bacaan ipu 135 iaitu bacaan tidak sihat setakat 8 malam ini manakala kebanyakan ipu di sabah berada pada tahap sederhana mengulas mengenai operasi pemadaman itu farhan sufyan berkata pemadaman kebakaran terbuka itu dijalankan di kawasan seluas 809 hektar dan perlu dijalankan dengan kadar tuntas supaya ia tidak merebak ke sekolah tunas bakti juga kawasan perumahan berhampiran kita juga menggunakan unit dron untuk memantau kebakaran itu dan memastikan api tidak merebak ke kawasan lebih besar katanya,ms,negative,
"'Kundasang tak sejuk lagi, tak nyaman lagi'",penebangan pokok dan pembangunan tidak teratur dipercayai punca kundasang sudah tidak sejuk lagi kata datuk jaujan sambakong warisansulabayan dalam sidang dewan undangan negeri dun sabah pada khamis beliau berkata suasana alam sekitar tempat pelancongan tanah tinggi itu sudah tidak sama seperti sebelum ini di mana pembangunan sudah banyak di kawasan berkenaan saya ada pergi ke kundasang bila saya lihat saya beritahu ahli dewan undangan negeri adun kundasang tempat itu cukup cantik tapi hari ini saya tengok jauh dari segi alam sekitar berbanding dulu tak sejuk lagi tak nyaman lagi yang lain kadangkadang tiada lagi pasal penebangan pokokpokok dan kita tidak nafikan kesan daripada pembangunan pesat beliau berkata demikian ketika membahaskan pindaan rang undangundang tamantaman pindaan 2024 yang dibentangkan menteri pelancongan kebudayaan dan alam sekitar datuk christina liew beliau yang menyokong pindaan rang undangundang tersebut turut berkata perubahan iklim itu bukan saja kerana fenomena dunia tetapi disebabkan perbuatan manusia jadi saya sangat menyokong pindaan akta ini supaya diperkasakan lagi untuk tujuan supaya sentiasa ada tarikan dan dapat dinikmati bukan saja generasi hari ini tetapi di masa akan datang katanya,id,unknown,
Sabah rangka Hala Tuju Strategik Pembangunan Negeri RMKe-13,kerajaan negeri telah merangka hala tuju strategik pembangunan negeri di bawah rancangan malaysia ketiga belas rmke13 sebagai langkah proaktif untuk memacu ekonomi dan pembangunan negeri kata ketua menteri datuk seri panglima haji hajiji haji noor katanya rmke13 yang akan bermula dari tahun 2026 hingga 2030 dirangka mengambil kira dasar pelan pembangunan dan blueprint semasa serta inisiatifinisiatif utama yang sedang diterokai termasuk inisiatif ekonomi biru beliau berkata agenda pembangunan negeri di bawah rmke13 juga turut diselaraskan dengan agenda matlamat pembangunan mampan sustainable development goals sdg bagi memastikan pembangunan negeri yang inklusif dan lestari seiring dengan komitmen di peringkat nasional dan global menurutnya bagi memperkukuhkan inisiatif ekonomi biru mesyuarat jemaah menteri pada minggu lalu telah meluluskan penubuhan taman perindustrian ekonomi biru blue economy industrial park beip di kudat ini menunjukkan kerajaan negeri amat serius dalam membangunkan sektor ekonomi biru sebagai sumber baharu ekonomi yang boleh dimanfaatkan oleh seluruh rakyat khususnya dalam mencipta peluangpeluang pekerjaan untuk penduduk setempat beip ini dijangka berupaya mentransformasi bahagian utara sabah khususnya pekan kudat menjadi the new industrial township yang berupaya menarik ramai pelabur dari dalam dan luar negara menerokai segala potensi yang berkaitan dengan ekonomi biru seperti perikanan pelancongan marin farmaseutikal marikultur dan tenaga boleh diperbaharui katanya beliau berkata demikian pada majlis amanat tahun baru 2025 ketua menteri bersama penjawat awam di negeri sabah di sabah international convention centre sicc pada khamis hajiji berkata pembangunan negeri akan dilaksanakan secara holistik meliputi aspek ekonomi sosial dan alam sekitar dibawah rmke13 katanya fokus utama akan diberikan kepada pengukuhan daya tahan ekonomi melalui tiga sektor ekonomi utama iaitu perindustrian pertanian dan pelancongan selaras pelan pembangunan hala tuju sabah maju jaya smj disamping memperkukuh infrastruktur dan utiliti bagi menyokong sektorsektor ekonomi ini menurutnya pembangunan inklusif merangkumi pembangunan wilayah dan sosioekonomi yang seimbang akan dilaksanakan bagi memastikan kesejahteraan yang menyeluruh dan adil untuk setiap lapisan masyarakat selain itu katanya usaha untuk meningkatkan kemampanan sumber asli dan pemeliharaan alam sekitar juga ditekankan bagi menyokong pembangunan yang seimbang dan lestari beliau berkata dengan hala tuju pembangunan strategik serta pelaksanaan program pembangunan yang berkesan dan teratur pertumbuhan ekonomi negeri sabah dijangka akan berkembang pada kadar pertumbuhan purata antara 30 hingga 45 peratus dalam tempoh pelaksanaan rmke13 strategi dan pelan pembangunan ini pasti dapat dicapai jika kita bekerja bersungguh sungguh dalam satu pasukan disokong dengan suasana politik yang stabil dengan semangat perpaduan dan keharmonian kaum insyaallah kita berupaya mencapainya tegas beliau hajiji berkata secara keseluruhan prestasi kementeriankementerian jabatanjabatan dan agensiagensi kerajaan adalah memuaskan namun masih banyak ruang untuk menambahbaik prestasi masingmasing malah beliau percaya jika penjawat awam meletakkan sepenuh perhatian dan memberikan yang terbaik kepada organisasi daripada pucuk pimpinan kepada yang serendahrendah jawatan maka organisasi akan bertambah maju dan cemerlang mulakanlah sikap yang positif ini sempena tahun baharu ini demi memberikan yang terbaik untuk organisasi dan kerajaan katanya menyentuh langkahlangkah pemerkasaan perkhidmatan awam di sabah hajiji berkata lebih 4000 orang penjawat awam telah mengikuti latihan di dalam dan luar negara bertujuan meningkatkan kompetensi kreativiti dan daya saing dalam menghadapi tuntutan kerja yang semakin kompleks dan dinamik pada masa kini katanya dengan menggabungkan latihan bersifat tempatan dan global komposisi kualiti penjawat awam akan menjadi lebih dinamik adaptif dan berwawasan luas dalam melaksanakan tanggungjawab masingmasing menurutnya pada tahun 2024 seramai 1960 orang penjawat awam daripada pelbagai skim perkhidmatan telah menikmati kenaikan pangkat kemajuan kerjaya yang melibatkan penyandang pelbagai skim perkhidmatan dalam perkhidmatan awam negeri ini memastikan jawatan strategik dan bukan strategik diisi oleh individu yang berkelayakan dan berkemahiran tinggi agar dapat mempertingkatkan sistem penyampaian perkhidmatan katanya ,ms,negative,
Pembangunan mampan dijadikan agenda utama,prinsip pembangunan mampan akan terus diterapkan di negeri ini untuk menyokong inisiatif pertumbuhan hijau dalam usaha mempertingkatkan pertumbuhan ekonomi agar lebih berdaya tahan terhadap perubahan iklim dan bencana ketua menteri datuk seri hajiji noor berkata seiring dengan itu kerajaan negeri akan menjayakan agenda matlamat pembangunan mampan sdg bagi menjadikan sabah sebuah negeri yang maju dan mampan matlamat pembangunan mampan atau sdg adalah paksi penting dalam semua perancangan dan dasar bagi menangani isu pembangunan tidak lestari sehingga merosakkan alam sekitar bagi mencapai semua matlamat itu kita perlu komited untuk melakukan beberapa langkah antaranya pertama mengamalkan prinsip ekonomi kitaran atau circular economy iaitu sentiasa berusaha memanjangkan hayat produkproduk yang digunakan dengan berhemah melalui berkongsi guna semula perbaiki dan mengitar semula kedua mengambil peluang sepenuhnya perubahan dan kemajuan teknologi digital robotik dan dron ini seperti penghutanan semula secara besarbesaran dan boleh dilakukan dengan menggunakan dron katanya beliau berkata demikian ketika merasmikan penutupan sidang kemuncak matlamat pembangunan mampan malaysia peringkat wilayah sabah 2024 di pusat konvensyen antarabangsa sabah sicc di sini hajiji berkata langkah ketiga adalah peluang bagi mendapatkan kualiti pendidikan melalui pendidikan atas talian dan keempat penyertaan menyeluruh dari semua lapisan masyarakat adalah amat penting menerusi langkah keempat ini kita harus terus mendidik dan mengasuh setiap individu tentang konsep sustainability atau kemampanan kesedaran disiplin komitmen dan gaya hidup harus diasuh supaya sikap dan tindakan setiap dari kita adalah consistent  dan akur dengan sdg katanya sehubungan itu beliau berkata kerajaan negeri turut memperuntukkan sejumlah rm14444 juta untuk melancarkan pelaksanaan pelbagai aktiviti dan inisiatif demi mencapai pembangunan yang seimbang dengan mengambil kira elemen kelestarian hijau di sabah pada tahun ini saya juga berharap inisiatif untuk menjajarkan pembangunan sosioekonomi di sabah dengan sdg akan diteruskan dengan bersungguhsungguh semoga hasil daripada sidang ini dapat membantu pembuat dasar pemegang taruh individu masyarakat dan orang ramai lebih peka dan sensitif dengan isuisu sdg bagi pihak kerajaan negeri saya berasa bangga kerana sidang ini turut memberikan ruang kepada agensi kerajaan negeri sabah mengemukakan sebahagian daripada inisiatifinisiatif yang sudah dilaksanakan termasuk melindungi biodiversiti dan ekosistem hutan serta pemuliharaan dan pengurusan sumber perikanan melalui sistem tagal katanya katanya kerap dilaporkan menerusi saluran media bahawa isu kemampanan atau sustainability telah menjadi dilema manusia iaitu untuk mencapai keseimbangan antara pembangunan sosioekonomi yang pesat dan kegigihan secara global untuk memenuhi matlamat pembangunan mampan dan lestari pertembungan agenda ini menjadikan usaha to strike the balance adalah cukup mencabar bagi sebahagian besar manusia kelompok wilayah dan negara kerosakan dan bencana alam berlaku kerana sikap mementingkan diri dan kerakusan oleh sebahagian besar manusia sehingga terlupa untuk menyimpan dan mewariskan kepada generasi yang akan datang kelalaian manusia yang tidak bertanggunjawab menyebabkan kita telah dilanda bencana dan krisis yang bersilih ganti justeru kerajaan negeri komited untuk menjayakan agenda sdg ini katanya,id,unknown,
SIBEC cermin komitmen Sabah terhadap pembangunan lestari,persidangan ekonomi biru antarabangsa sabah 2024 sibec 2024 membuka pintu untuk perbincangan penting mengenai perikanan lestari tenaga lautan boleh diperbaharui pelancongan marin dan inovasi dalam marikultur diadakan pada hujung minggu di pusat konvensyen antarabangsa sabah sicc kerajaan negeri amat teruja dengan potensi yang ditawarkan oleh penukaran tenaga terma lautan otec timbalan ketua menteri datuk seri dr jeffrey kitingan berkata otec bukan sahaja mempelbagaikan sumber tenaga sabah tetapi juga melengkapi usaha pertanian dan marikultur dengan menyediakan penyelesaian lestari untuk amalan pertanian persidangan ini menandakan langkah pertama sabah dalam mengangkat ekonomi biru ke tahap yang lebih tinggi mencerminkan komitmen kami terhadap pertumbuhan dan pembangunan lestari topiktopik yang dibincangkan adalah penting dalam usaha kami memanfaatkan sumber lautan dan sungai secara lestari untuk mencapai pertumbuhan ekonomi yang seimbang dan mampan dengan kerjasama strategik antara pelbagai sektor dan pemegang taruh termasuk sektor pertanian saya yakin kita akan mencapai pertumbuhan ekonomi yang lestari mewujudkan peluang pekerjaan dan memastikan pemeliharaan sumber marin untuk generasi akan datang komitmen kami untuk memelihara ekosistem marin sambil memacu pertumbuhan ekonomi akan terus menjadi fokus utama kerajaan negeri katanya dalam ucapan penutupnya pada ahad pertubuhan bangsabangsa bersatu pbb mentakrifkan ekonomi biru sebagai penggunaan lautan secara lestari dengan manfaat yang adil dan inklusif untuk rakyat sementara sinergi inovasi pemuliharaan dan regenerasi menjadi asas kepada ekonomi biru sabah yang mampan dr jeffrey berkata sabah mempunyai kedudukan unik untuk mendapat manfaat daripada sumber marin seperti rumpai laut dan span laut yang berpotensi menyumbang bukan sahaja kepada pertumbuhan ekonomi tetapi juga dalam bidang kesihatan dan farmaseutikal pertanian rumpai laut menjadi industri yang berkembang pesat di sabah dengan kegunaannya yang meluas daripada produk makanan hingga kepada biofuel manakala span laut menjanjikan potensi besar dalam penyelidikan farmaseutikal untuk membangunkan ubatubatan dan rawatan perubatan baharu selain itu beliau berkata sistem tagal yang sudah lama diamalkan oleh komuniti peribumi sabah merupakan contoh komitmen mendalam negeri ini dalam melindungi sumber semula jadi sambil memupuk mata pencarian yang lestari sistem pengurusan sungai tradisi berasaskan komuniti ini bukan sahaja melindungi sungaisungai kita daripada penangkapan ikan berlebihan dan degradasi alam sekitar tetapi juga meningkatkan pendapatan untuk komuniti tempatan dengan mengimbangkan tradisi dengan amalan alam sekitar moden sistem tagal menonjolkan bagaimana pengetahuan peribumi boleh menyumbang kepada pemeliharaan alam sekitar dan pertumbuhan ekonomi tambahnya dr jeffrey yang juga menteri pertanian perikanan dan industri makanan sabah berkata persidangan yang dianjurkan oleh sekretariat sabah maju jaya smj itu turut meliputi sektor pertanian yang penting untuk keselamatan makanan dan daya tahan ekonomi terdahulu setiausaha negeri datuk seri sr safar untong berkata sabah memerlukan lebih banyak maklumat dan oleh itu perlombongan data perlu dimasukkan dalam strategi tersebut secara ringkasnya katanya perlombongan data merangkumi visual 3d dan komunikasi hiperpantas edna yang merupakan pangkalan data biodiversiti lautan yang diproses menggunakan superkomputer dan kecerdasan berkoloni kecerdasan utama tentang bagaimana alam semula jadi berkomunikasi yang diubah menjadi perniagaan lestari ekonomi biru sabah bukan sahaja mengenai teknologi malah model perniagaan yang menjana pembangunan ekonomi tempatan katanya,ms,positive,
UMS terus giat usaha pulihara alam semula jadi,universiti malaysia sabah ums terus mempergiatkan pelbagai usaha berkaitan pemuliharaan alam semula jadi dan perlindungan biodiversiti yang merupakan khazanah berharga khususnya bagi negeri sabah naib canselor ums profesor datuk dr kasim mansor berkata usaha berterusan oleh institut biologi tropika dan pemuliharaan ibtp dan fakulti perhutanan tropika fpt ums adalah amat penting sebagai latihan dan sokongan kepada generasi akan datang untuk memanfaatkan dan mengurus alam semula jadi secara mampan isu pembangunan manusia kehilangan biodiversiti dan kepupusan spesis haiwan liar telah menjadi kemelut kepada dunia masa kini dengan kekayaan hutan hujan tropika yang asli serta ekosistem marin negeri sabah menjadi lokasi terbaik bagi usaha latihan dan sokongan terhadap pemuliharaan dan perlindungan biodiversiti alam semula jadi ciri biodiversiti di sabah yang unik membolehkan aktiviti penyelidikan secara konsisten dapat dijalankan bagi memahami nilai interaksi dan sumbangannya kepada kesejahteraan manusia katanya beliau berkata demikian dalam ucapan sempena majlis menandatangani memorandum perjanjian antara ums dengan yayasan pemuliharaan hijau minyak sawit malaysia mpogcf jabatan hidupan liar sabah dan hutan di galeri majlis ums teks ucapan beliau dibacakan oleh timbalan naib canselor penyelidikan dan inovasi ums profesor ir dr rosalam sarbatly menyentuh mengenai pemeteraian perjanjian antara agensiagensi tersebut kasim memaklumkan perjanjian kerjasama yang dijalankan adalah ke arah usaha untuk memulihara alam semula jadi dan melindungi biodiversiti daripada kepupusan kerjasama ini adalah selaras dengan peranan mpogcf yang menyokong dan memperkukuh usahausaha pemuliharaan alam sekitar manakala jabatan hidupan liar sabah sebagai pihak berkuasa hidupan liar tempatan berdiri sebagai mercu tanda perlindungan untuk kekayaan biodiversiti di rantau kita katanya beliau menambah pemeteraian perjanjian ini juga melambangkan perpaduan dedikasi dan harapan untuk masa depan dalam melindungi alam semula jadi untuk generasi yang akan datang usaha ini adalah permulaan kepada lebih banyak usaha niaga yang direka untuk lebih mendalami pemahaman dan penghayatan terhadap alam semula jadi katanya pada majlis tersebut turut berlangsung acara pelancaran buku a tenyear journey savings sabahs wildlife rescue unit yang disempurnakan oleh pemangku pengurus besar mpogcf hairulazim mahmud hadir sama timbalan pengarah jabatan hidupan liar sabah roland oliver niun pengarah saintifik hutan dr marc acrenaz setiausaha bahagian kemajuan industri sawit dan sago severinus tukah  tukang dan pengarah ibtp prof madya dr fiffy hanisdah saikim,ms,positive,
Sabah perlu tangani kesan perubahan iklim,sabah perlu bangunkan pelan tindakan bagi menangani kesan negatif perubahan iklam terhadap kanakkanak menteri pelancongan kebudayaan dan alam sekitar datuk christina liew berkata kerajaan negeri harus menggalakkan kelestarian alam sekitar dan menangani punca utama perubahan iklim katanya rancangan itu perlu merangkumi dasar dan inisiatif bagi mengurangkan kemiskinan meningkatkan akses kesihatan dan memastikan diet berkhasiat untuk kanakkanak pelan tindakan juga harus memberi tumpuan kepada sokongan untuk komuniti yang paling terdedah dengan perhatian khusus kepada keperluan kanakkanak untuk menangani krisis ini dengan berkesan terlebih dahulu kita mesti memahami sepenuhnya dasar jurang dan isu sedia ada berkaitan dengan perubahan iklim di sabah katanya beliau yang juga ahli dewan undangan negeri adun apiapi berkata demikian ketika merasmikan perbincangan unicefids mengenai perubahan iklim dan kanakkanak di sabah di sini semalam menurutnya suhu semakin meningkat keadaan cuaca yang melampau dan cepat kehilangan biodiversiti adalah punca bumi dalam krisis krisis ini bukan sahaja menjejaskan alam sekitar tetapi juga kesihatan kesejahteraan serta ekonomi kita katanya christina berkata kekerapan berlakunya bencana banjir dan tanah runtuh di sabah menyebabkan kerosakan yang ketara kepada komuniti serta infrastruktur di sini katanya krisis ini juga turut memberi impak kepada generasi akan datang kerana mereka mewarisi bumi yang semakin rosak mereka akan menghadapi realiti peningkatan paras laut kekurangan makanan dan air serta kehilangan tempat tinggal justeru kita mesti mengambil tindakan sekarang untuk memerangi perubahan iklim serta melindungi masa depan sabah dan anakanak kita katanya,id,unknown,
Sabah sedia kerjasama dengan pemegang taruh perangi perubahan iklim ,kerajaan sabah akan bekerjasama dengan semua pemegang taruh untuk memerangi perubahan iklim dan cabarannya ketua menteri datuk seri hajiji noor berkata kerajaan negeri sedang mengambil langkah ke arah ini termasuk program agroperhutanan insentif pertanian organik dan projek pemuliharaan berasaskan komuniti katanya ia bertujuan untuk membina ketahanan dalam kalangan penduduk tempatan namun usaha ini memerlukan sokongan berterusan bukan sahaja dari dalam malaysia tetapi juga daripada rakan kongsi antarabangsa yang komited untuk memupuk pembangunan mampan katanya beliau berkata demikian pada konvensyen kinabalu 2025 keselamatan makanan perubahan iklim dan pelaburan di magellan sutera resort di sini semalam teks ucapannya dibacakan timbalan ketua menteri datuk seri dr jeffrey kitingan hajiji berkata menangani ketidakselamatan makanan dan perubahan iklim memerlukan lebih daripada niat baik kerana ia memerlukan sumber kewangan yang besar dan perkongsian strategik sektor swasta dipanggil untuk terlibat dan melengkapkan usaha kerajaan kami menjemput perniagaan pelabur dan semua organisasi yang mempunyai matlamat yang sama untuk meneroka pelaburan hijau bagi menangani isuisu ini katanya katanya berdasarkan anggaran terkini oleh pertubuhan bangsabangsa bersatu laporan pbb 2023 secara global hampir 733 juta orang menghadapi kelaparan setiap hari sementara kenaikan harga makanan gangguan rantaian bekalan dan kejadian cuaca ekstrem hanya memburukkan lagi krisis ini bagi malaysia dan khususnya sabah kebergantungan kita terhadap import bahan asas seperti beras dan gandum membuatkan kita terdedah kepada kejutan luaran menjadikan keselamatan makanan sebagai kebimbangan yang mendesak katanya dalam pada hajiji berkata menangani keselamatan makanan bermula dengan menghadapi punca utamanya iaitu perubahan iklim katanya kenaikan suhu musim monsun yang tidak menentu dan ribut yang semakin kuat di negeri ini telah memusnahkan tanaman merosakkan mata pencarian dan menyebabkan keluarga kehilangan tempat tinggal beliau menambah kawasan pantai semakin terdedah kepada kemasukan air masin ke dalam sumber air tawar yang seterusnya membahayakan bekalan pertanian dan air minuman tambahnya lagi cabaran ini semakin buruk dengan penebangan hutan yang mengikis ekosistem penting untuk penyerapan karbon dan kepelbagaian biologi walaupun trend ini membimbangkan ia tidak boleh dipulihkan memerangi perubahan iklim bukan sahaja keperluan alam sekitar tetapi juga kewajipan moral kepada generasi akan datang dengan melabur dalam tenaga boleh diperbaharui mempromosikan penanaman semula hutan dan mengamalkan pertanian pintar iklim kita dapat mengurangkan kesan terburuk pemanasan global dan memastikan ketersediaan makanan jangka panjang katanya hajiji berkata konvensyen ini menawarkan platform yang sesuai untuk membincangkan berkongsi pengetahuan dan berkomitmen kepada tindakan konkrit termasuk mengukuhkan kerjasama serantau mempromosikan pertanian mampan dan memperkasakan komuniti tempatan,ms,negative,
El Nino beri cabaran besar kepada pengeluaran keselamatan makanan di Sabah,fenomena el nino memberi cabaran besar kepada pengeluaran keselamatan makanan di sabah menurut timbalan ketua menteri datuk seri jeffrey kitingan kekurangan taburan hujan dan peningkatan suhu telah menyebabkan paras air sungai berkurangan antara 10 peratus dan 40 peratus daripada paras biasa memberi kesan kepada aktiviti pertanian ternakan akuakultur dan pengeluaran getah dalam satu kenyataan jeffrey yang juga menteri pertanian perikanan dan industri makanan berkata beliau telah meminta laporan daripada pelbagai jabatan dan agensi di bawah kementeriannya untuk menilai keadaan dan langkahlangkah yang sedang dilaksanakan bagi mengurangkan kesan buruk fenomena itu katanya penilaian menyeluruh yang dikumpulkan menunjukkan cuaca kering telah memberi kesan ketara kepada sektor pertanian dalam pelbagai cara ini termasuk penurunan paras air untuk pengairan menghalang pertumbuhan tanaman akibat penurunan hujan dan potensi risiko penurunan produktiviti ternakan akibat kekurangan makanan beliau memberi amaran bahawa keadaan itu serius dan memerlukan perhatian segera dan berterusan jeffrey memaklumkan kementeriannya sedang giat melaksanakan langkahlangkah untuk mengurangkan kesan buruk dan memastikan daya tahan sistem pengeluaran keselamatan makanan berdasarkan dapatan jabatan saliran dan pengairan jps sabah antara kawasan yang paras air sungainya kritikal termasuk kota belud keningau membakut tambunan dan kota marudu sementara itu berkaitan pengeluaran makanan jps mendapati fenomena el nino telah menyebabkan penurunan hujan sekitar 80mm pada januari dan februari 2024 memberi kesan buruk kepada agronomi tanaman dan pengurusan tanah setakat ini papar mencatat ketinggian suhu 34 darjah celcius dan kota kinabalu 31 darjah celcius antara lain,id,unknown,
Usaha Pemulihan dan Pemuliharaan Hutan Sabah Perlu Sokongan Semua Pihak, pelan pemulihan dan pemuliharaan hutan oleh jabatan perhutanan perlu disokong oleh semua pihak terutama pemegang konsesi perjanjian lesen pengurusan hutan mampan sfmla atau unit pengurusan hutan fmu pemain industri hiliran dan badanbadan bukan kerajaan ngo yang berkaitan ketua menteri sabah datuk seri hajiji noor berkata pujian perlu diberikan kepada konsesi sfmla atau fmu yang telah mengekalkan pensijilan pematuhan mereka dalam pengurusan hutan serta semua rakan pemuliharaan atas sumbangan mereka dalam agensi konservasi negeri ini saya percaya jabatan perhutanan sabah dengan jalinan kerjasama dan penglibatan semua pihak yang berkaitan mampu untuk terus mencapai kecemerlangan dalam agenda konservasi hutan dan pemulihan ke arah pengurusan lestari hutan kita untuk anak cucu katanya berucap sempena majlis apresiasi perhutanan 2021 di sabah international convention centre sicc di sini semalam selasa hajiji meminta jabatan perhutanan negeri memainkan peranan aktif dalam memacu pembangunan ekopelancongan yang dikenalpasti sebagai tonggak ekonomi utama dalam hala tuju sabah maju jaya smj  seperti yang disebut oleh ketua konservator hutan datuk frederick kugan sebelum ini ekopelancongan dan perhutanan adalah saling berkaitan hutan kita adalah habitat kepada kepelbagaian bio yang mana kita boleh menemui antara lain pokok dipterocarp tertinggi di dunia dan orang utan gajah beruang serta tembadau semua ini adalah tarikan utama untuk pelancong domestik dan antarabangsa ke sabah tetapi saya percaya sebagai sektor ekopelancongan bertaraf antarabangsa masih banyak yang perlu diterokai dan diperbaiki terutama selepas pandemik ini lebihlebih lagi selepas wabak itu katanya dari perspektif jaringan kelestarian hijau ketua menteri berharap hutan di sabah akan terus berfungsi sebagai yang terbaik untuk inisiatif heart of borneo hob ia juga sejajar dengan aspirasi smj bahawa pemuliharaan dan mengekalkan hutan serta biodiversitinya diberi penekanan bukan sahaja untuk kepentingan sabah serta negara malah juga untuk dunia katanya untuk usaha itu hajiji memuji jabatan perhutanan atas inisiatif dalam membuat langkah awal ke arah mencapai kelestarian hijau yang disifatkannya sebagai langkah bijak dengan memastikan 30 peratus atau 22 juta hektar hutan sabah menjadi kawasan terlindung sepenuhnya tpa menjelang tahun 2025 beliau berkata ia akan melengkapkan usaha mewujudkan koridor dan menyelesaikan isu ketersambungan connectivity issue hutan simpan di seluruh negeri hajiji juga mengambil maklum dengan ucapan kugan mengenai inisiatif jabatan perhutanan dalam usahanya untuk membentuk semula sektor perhutanan bagi membawa manfaat sosial dan ekonomi berimpak tinggi kepada masyarakat termasuk melihat ke dalam menjana pendapatan melalui produk bukan kayu seperti karbon kredit pembangunan tenaga hijau hidro pengkomersilan hasil penyelidikan pengkajian semula lesen sfmla atau fmu yang tidak berdaya maju penstrukturan semula sektor perindustrian kayu kayan yang lebih inklusif serta pelan tindakan tranformasi ladang hutan sebagai penghunipemilik tanah ini kita lebih tahu apa yang terbaik untuk mengurus hutan kita saya percaya jabatan perhutanan sebagai agensi yang diamanahkan dalam menguruskan sumber ini telah mengambil kira semua aspek sejajar dengan pengurusan hutan lestari untuk memenuhi keperluan generasi kini dan akan datang katanya terdahulu ketua menteri turut menekankan kepentingan character building terutamanya dalam memerhatikan tahap integriti yang tinggi dalam kalangan kakitangan sektor awam dan jabatan yang diamanahkan untuk menyimpan maklumat sulit kerajaan serta mereka yang mempunyai kuasa membuat keputusan mesti mempunyai integriti pelan antirasuah yang telah dirangka oleh kerajaan akan menjadi penanda aras kepada semua kementerian jabatan dan agensi katanya turut hadir ialah datuk seri dr jeffrey kitingantimbalan ketua menterimenteri pertanian dan perikanan datuk dr joachim gunsalam timbalan ketua menterimenteri pembangunan perindustrian penasihatpenasihat teknikal kepada ketua menteri sabah datuk sam mannan perhutanan dan datuk darrel webber perubahan iklim dan ketua konservator hutan sabah datuk frederick kugan,ms,negative,
