Title,Content,Language,Predicted Sentiment,Actual Sentiment
Firm’s bid to restore mangroves,a total of 300 mangrove saplings were planted at sankina aquaculture sdn bhds shrimp farm in apas parit under a joint environmental initiative to restore coastal ecosystems and enhance biodiversity the programme involved the planting of 200 mangrove saplings of bakau apiapi avicennia alba sourced from nearby mangrove areas and 100 mangrove saplings of bakau minyak rhizophora apiculata donated by tawau district forestry office aiming to restore coastal ecosystems and enhance biodiversity this effort builds upon sankinas ongoing environmental initiatives including a similar programme in 2023 in collaboration with politeknik sandakan and wwfmalaysia where 150 mangrove saplings were planted to promote awareness of mangrove conservation among students and the local community the programme is a collaborative initiative between sankina aquaculture sdn bhd and nichirei fresh inc a core subsidiary of the nichirei group which stands at the forefront of japans premium food industry established in 2005 the company has become a trusted leader in delivering freshness safety and culinary excellence across japan and beyond nichirei fresh inc demonstrates a robust commitment to environmental sustainability particularly in preserving and restoring vital mangrove ecosystems integral to the health of coastal environments and the seafood industry including the inochinomori project a collaborative mangrove reforestation initiative in kalimantan indonesia aimed at mitigating the environmental impacts of shrimp farming and promoting sustainable aquaculture practices since 2006 the mangrove tree planting initiative also received collaboration and support from seafood solutions plt the tawau district forestry office the tawau district fisheries office and wwfmalaysia the mangrove tree planting programme is aligned with sankina aquacultures core mission to foster responsible aquaculture practices while actively preserving and restoring natural ecosystems sankina aquaculture sdn bhd extended its sincere gratitude to nichirei fresh inc tawau district forestry office and wwfmalaysia for their generous sponsorship and unwavering support towards the success of the mangrove planting programme sankina aquacultures journey toward sustainability began in 2011 culminating in 2023 when it became the first shrimp farm in malaysia to receive asc certification the achievement was the result of implementing the aquaculture improvement project aip in partnership with wwfmalaysia focusing on mangrove restoration wastewater management and worker welfare managing director jenny ou expressed pride in the companys accomplishments stating achieving asc certification and leading environmental initiatives like todays mangrove planting reflect our dedication to responsible aquaculture practices and environmental conservation present at the event were nichirei fresh inc representatives motohiro kiuchi and ryunosuke hagiwara seafood solutions plts peter choo tawau district forestry officer kee nooridayu mohd ayub tawau district fisheries office representative saifuddin hj husin and wwfmalaysia aquaculture improvement officer chor wei kang the mangrove tree planting programme not only contributes to environmental restoration but also serves as a model for sustainable practices in the aquaculture industry aligning with global efforts to balance economic growth with ecological responsibility,en,positive,
Nik Nazmi resigns as Natural Resources and Environmental Sustainability Minister,nik nazmi nik ahmad has resigned as minister of natural resources and environmental sustainability effective july 4 in a statement nik nazmi said he had submitted his letter of resignation as a member of the cabinet to prime minister datuk seri anwar ibrahim i will be on leave from tomorrow until july 3 he said nik nazmi said that since his appointment to the cabinet as minister of natural resources environment and climate change in december 2022 and subsequently as minister of natural resources and environmental sustainability he had done his best to implement muchneeded reforms he said the achievements of both ministries included amendments to the environmental quality act 1974 act 127 and enhanced transparency in the reporting of environmental impact assessments eia nik nazmi said that his failure to retain the vicepresident post in the recent parti keadilan rakyat pkr election prompted his decision to resign as minister i would like to express my deepest appreciation to the dedicated civil servants my outstanding office team and all those from the public sector private sector and civil society who taught me so much and made it possible to implement various important reforms throughout this period we consistently sought to adopt an open and consultative approach in formulating policies and introducing legislation he said nik nazmi failed to retain his pkr vicepresidency in a highly competitive contest featuring 11 candidates last week,en,positive,
How thermal energy can unlock Sabah’s economic potential,the recent enactment of the ocean thermal energy conversion otec law by the sabah legislative assembly marks a pivotal step towards sustainable development beyond generating renewable energy otec technology offers a multitude of benefits that can significantly enhance sabahs economy and the wellbeing of its people desalinated water production otec systems inherently produce fresh water as a byproduct addressing water scarcity issues prevalent in many regions this desalinated water can support agriculture provide potable water to communities and reduce reliance on traditional energyintensive desalination methods aquaculture enhancement the nutrientrich deep oceansea water dow used in otec processes can be channelled into aquaculture fostering the cultivation of highvalue marine species this not only boosts local food production but also creates employment opportunities in fisheries and related industries agricultural productivity soil cooling systems can utilize dows cool temperatures to cultivate temperate crops in tropical climates this diversification can lead to increased agricultural yields and the introduction of new crops to the market benefiting local farmers and consumers alike tourism development integrating otec facilities with tourism can create unique attractions such as spas and wellness centres that use the mineralrich dow this can attract tourists seeking novel experiences thereby boosting the local tourism industry and generating additional revenue air conditioning efficiency district cooling systems can use the cold seawater from otec systems as an energyefficient alternative to air conditioning in urban areas this reduces electricity consumption and operational costs contributing to more sustainable urban development green hydrogen production otec technology facilitates the production of green hydrogen a clean fuel with applications in various industries including transportation and manufacturing developing a green hydrogen economy can position sabah as a leader in renewable energy innovation environmental conservation by reducing reliance on fossil fuels otec contributes to lower greenhouse gas emissions aiding in the fight against climate change additionally the sustainable use of ocean resources promotes marine conservation efforts educational and research opportunities the implementation of otec projects can serve as a platform for scientific research and education fostering innovation and knowledge transfer collaborations with academic institutions can lead to advancements in marine sciences and renewable energy technologies community empowerment participating local communities in otec projects guarantees the equitable distribution of benefits capacitybuilding initiatives can equip residents with the skills needed to participate in and sustain these projects promoting inclusive development economic diversification the multifaceted applications of otec technology can stimulate various sectors from agriculture to tourism leading to a more resilient and diversified economy this reduces dependence on traditional industries and opens new avenues for growth human resource development and technology transfer the adoption of otec technology necessitates special skills and knowledge prompting the development of targeted educational and training programs the emphasis on human resource development equips the local workforce to manage and operate otec facilities promoting a culture of innovation and technical proficiency collaborations with international experts facilitate the transfer of technology enabling sabah to build local expertise and reduce dependence on external resources upstream and downstream business opportunities otec technology stimulates a spectrum of business opportunities upstream activities include research and development engineering and manufacturing of otec components which can invigorate local industries and create highskilled jobs downstream the benefits extend to sectors such as agriculture aquaculture tourism and water supply all of which can leverage the outputs of otec systems to enhance their operations and services this integrated approach fosters a robust economic ecosystem driving sustainable development across the state otec law represents a transformative opportunity for sabah by harnessing the oceans thermal energy the state can unlock a spectrum of benefits that drive economic growth environmental sustainability and social wellbeing strategic planning and community involvement will be crucial in realising the full potential of otec technology paving the way for a prosperous and sustainable future for sabah,en,positive,
Nearly 300km Sabah’s coast under assault,according to department of irrigation and drainage did some 2955km of sabahs 1743km coastline is in danger of being lost to the sea among these 128km have been classified as critical category 1 35km as significant category 2 and 2792km as acceptable category 3 this was based on the national coastal erosion study in 1985 conducted by the federal government to classify and mitigate erosionprone areas recognising the threats the national coastal erosion council requested the federal economic planning unit epu in 1995 to develop guidelines for erosion control in development projects this led to the formulation of the guidelines on erosion control for development projects in the coastal zone which received federal cabinet approval on january 29 1997 for implementation the sabah government prioritises minimising negative environmental impacts from marine reclamation projects while ensuring socioeconomic benefits within a sustainable framework to achieve this the sabah environment tourism development science and technology ministry in collaboration with did and the town and regional planning department trpd implemented an overarching shoreline management plan smp this plan designates areas for development and conservation along the west coast stretching from ambong bay in the north to menggalong river in the south to further standardise environmental safeguards terms of reference tor for detailed environmental impact assessment for marine reclamation were formulated to ensure environmental impact assessment eia compliance for marine reclamation project approvals additionally supporting tors for environmental monitoring and management of marine reclamation projects provide guidelines for sustainable coastal development did sabah works closely with its federal counterpart for the planning and designing of coastal erosion control river mouth improvement works and the cleaning of recreational beaches as well as collection and dissemination of data related to coastal engineering did malaysia with coordination from did sabah has carried out three feasibility study projects by consultant for three areas namely tinagatbatu puyong near tawau tungku near lahad datu and tanjong arukinarut coastal zone near kota kinabalu which are classified as catergory 1 in sabah did sabah is also working closely with other government departmentsagencies involved in coastal zone management meanwhile malaysian association of environmental health secretary rudiaswady abdul rahim in january 2024 raised concerns over the ongoing coastal erosion affecting malaysia particularly in sabah and sarawak overall malaysias 8840km coastline faces significant challenges with 13476km affected by erosion and 4313km classified as critical and significant given that the data originates from 2015 rudiaswady highlighted the urgent need for updated assessments we lack insights into the current state of coastal erosion but one thing is certain it is deeply concerning that we may be losing our beautiful beaches he warned he urged the government to conduct a comprehensive survey on coastal erosion and implement a holistic strategy incorporating naturebased solutions hybrid strategies early warning systems and investments in naturebased infrastructure to mitigate further damage jellyfish blooms linked to climate change climate change has altered the distribution patterns of sea turtles in sabah primarily due to rising sea temperatures shifting ocean currents and habitat loss dr madihah said recent observations in sabah suggest possible shifts in hawksbill turtle nesting sites for many years hawksbills have primarily nested on pulau gulisaan in turtle islands park sulu sea however a hawksbill turtle with flipper tags from turtle islands park was recently recorded nesting in semporna celebes sea this raises important questions about whether some turtles are beginning to explore alternative nesting beaches this may be linked to habitat degradation as severe erosion has impacted the main hawksbill nesting site in turtle islands park potentially forcing turtles to seek new nesting grounds she said on a global scale she said shifting nesting sites have already been documented as a response to climate change warmer temperatures are pushing certain species such as leatherbacks further north and some nesting seasons are expanding while extensive longterm monitoring is needed to confirm similar trends in sabah these local and global shifts highlight the need for conservation strategies to protect potential new nesting areas and enhance resilience against climatedriven habitat changes there has also been an increase in the sighting and frequency of mass jellyfish blooms in sabahs waters which could be an indicator of climate change she added dr madihah also noted changes in the composition abundance and size of fish species in commercial landings as evidenced by the annual fisheries statistics published by sabah fisheries department and personal field observations since the late 1990s this ecological shift is known as mesopredator release where mesopredator populations increase due to the decline of apex predators particularly large sharks and groupers however she explained that shifts in the distribution of key marine species due to climate change are not yet particularly evident the dominant coral species in sabah acropora and porites continue to thrive despite environmental changes demonstrating their resilience compared to other more vulnerable species asked about the implications for local fisheries and communities dependent on these resources dr madihah highlighted the impact of jellyfish blooms jellyfish feed on plankton including commercial fish larvae which can lead to a decline in certain fishery stocks additionally jellyfish blooms can clog fishing gear causing operational challenges for fishermen their increasing frequency also affects marine tourism particularly activities such as snorkelling and diving she explained despite these environmental changes she emphasised that ongoing conservation efforts have led to an increase in sabahs sea turtle populations as a result their shifting distribution and climaterelated changes do not yet have significant direct implications for local fisheries and communities tropical storms now lash sabah tropical storm greg devastated the state in 1996 affecting over 17000 people and destroying nearly 5000 houses while the direct marine impacts were not well documented at the time dr madihah said heavy rainfall and flooding likely contributed to increased sedimentation and pollution in coastal waters harming marine habitats similarly tropical storm hilda in 1999 caused widespread flooding and landslides particularly along the west coast like tropical storm greg the heavy rainfall would have increased runoff into coastal areas potentially harming marine habitats rising sea levels and storms due to climate change is leading to more frequent and intense storms which combined with rising sea levels exacerbate coastal erosion and threaten marine ecosystems in sabah countering fish catch decline sabahs fishing communities are facing increasing challenges as fish population declines due to climate change habitat degradation and overfishing experts warn that commercial reef fish such as grouper and snapper are becoming scarcer particularly in nonprotected reef areas based on information we get from the local fishing community commercial reef fishes like grouper and snapper are reducing said dr madihah the response has been to target less favourable species for example species that used to be not fish for food are now available in the fish market these communities are finding alternative livelihoods to adapt to declining seagrass health the fisheries department is implementing management strategies including regulating fishing activities one such is using satellite assistance called iivms to track shoals more high biodiversity and ecological important areas would also be identified and gazetted as marine parks to regulated human activities and reduce impact to marine habitats and ecosystem services the establishment of marine protected areas mpas sabah also allow seagrass and other marine life to recover,en,positive,
Students get insight on climate change,forty students gathered at the rainforest discovery centre rdc in sepilok for the youth camp on climate change 2025 held from april 30 to may 2 the threeday camp sponsored by the states youth and sports ministry was organised by the sabah forestry department it brought together participants aged 17 to 25 from universiti malaysia sabah politeknik sandakan kolej komuniti sandakan kolej vokasional sandakan ii and kolej komuniti lahad datu participants were divided into smaller groups and assigned different climaterelated topics which they later presented during the final session of the camp youth and sports minister datuk ellron angin said the ministry greatly appreciates the initiative in organising the meaningful camp when we were informed that 40 youth from diverse backgrounds and areas of study would gather at the rainforest discovery centre to explore the issue of climate change we were confident that such programmes deserve our attention and support your presence here shows that malaysian youth especially in sabah are not only eager to gain knowledge but also ready to take concrete steps in addressing this challenge he said represented by the ministrys deputy permanent secretary mary paul mijong dagul in line with this handson approach the camp included workshops conducted in collaboration with sabah environmental education network seen partners such as the sabah wildlife department and bornean sun bear conservation centre bsbcc sabah forestry department chief conservator of forests datuk frederick kugan said it is hoped that the youth camp on climate change would serve as a catalyst for more climatethemed initiatives in the future with the involvement of youth from all over sabah he said it is truly impressive to learn that most of the participants in this camp are not from scientific backgrounds but are passionate to learn and understand climate change issues we believe that the youth as the heirs of the future need to be given space to understand and be involved in efforts to address this issue climate change is not just an issue for experts but a concern that needs to be understood by everyone frederick said represented by head of forest research centre dr arthur chung participants were divided into smaller groups and assigned different climaterelated topics which they presented during the final session of the camp,en,positive,
Pan Borneo poses threat to the Tawai forest reserve,touted as a gamechanger environmentalists and conservationists have raised serious concerns about the pan borneo highway projects potential impact such as plans to cut across the biodiversityrich tawai forest reserve on the east coast a recent seminar by the sabah forestry department titled defining tawai ecological integrity meets social values underscored the significance of the tawai forest reserve as a crucial component of sabahs natural heritage one of the key issues discussed was the highway cutting through ruku ruku valley  an ecologically sensitive area within the reserve and plea to the state government to consider an alternative route commenting on the issue frederick emphasised the risks of habitat fragmentation that would be caused by the highway the pan borneo highways route through ruku ruku valley threatens vital wildlife habitats endangering species that depend on large connected landscapes such as the bornean elephant and the critically endangered bornean peacock pheasant he said experts fear the fragmentation could also escalate humanwildlife conflicts disrupt key wildlife corridors and diminish the genetic diversity of species within the reserve concerns were also raised about increasing encroachment and plantation expansion by quarters seizing advantage of the situation,en,negative,
Why SDG13 matters to Sabah Electricity,climate change isnt a distant idea anymore it is here and its already reshaping how we live and work when people talk about climate change they often picture melting ice caps or rising sea levels in faraway places but for us at sabah electricity the effects of climate change are not distant or theoretical but they are right here on our land impacting our grid damaging our infrastructure and threatening our ability to serve the people of sabah thats why we take sustainable development goal sdg13 dedicated to climate action seriously not because its trendy or because we have to but because weve seen what happens when nature strikes and we arent prepared the truth is we need climate action not as a slogan but as a survival strategy over the past year alone weve experienced firsthand how natural disasters can paralyze the electricity supply in sabah remember the landslide in kampung nabutan that wasnt just a normal landslide as it occurred right near the 275kv transmission towers that are part of the backbone of our grid these towers connect the west coast and east coast of sabah carrying roughly 200 megawatts of electricity every day if they had fallen the entire east coast could have plunged into darkness thats not just a technical issue but also a disruption to homes schools clinics and factories thats the realworld consequence of not acting fast enough to protect our infrastructure from the shifting earth beneath our feet the condition of those towers became very critical there was no village nearby no people around to help just deep forest and unstable soil and yet 30 of our sabah electricity staff 30 from tnb and 20 contractors went deep into those highrisk areas to prevent collapse they knew the stakes they knew that for every bolt tightened every reinforcement made they were protecting the daily lives of thousands across sabah and what about the disaster in tenom on 31 october 2022 the tenom pangi hydro power station one of sabahs key sources of renewable energy was hit by a massive landslide and mud flood three turbines were damaged we lost 66 megawatts of generation capacity overnight thats clean energy gone thats a dent in our generation portfolio thats power we could not deliver to the people and again nature didnt wait for us to be ready it came in full force these are not rare events anymore they are becoming more frequent more intense and costlier toppled electric poles broken distribution lines flooded substations every time something like this happens it puts our system under stress and every time our system is under stress the people of sabah feel it whether its in the form of a blackout load shedding or delayed restoration works this is why sdg13 matters to us not as a formality but as a foundation of power stability and asset protection here in this company we see sdg13 as a lifeline when we talk about green initiatives were not just talking about planting trees or cutting carbon were talking about investing in infrastructure that survives about building systems that bend but dont break and about planning for a future where power is reliable even in the face of floods storms and landslides these things are not luxuries theyre necessities thats why for us sdg13 climate action isnt just about protecting the environment its about protecting our assets our power system and the lives and livelihoods of the people who count on us every day its easy to overlook how much the power grid depends on the land around it staying still and predictable but the earth is moving the rains are heavier the storms are stronger and sabahs geography while beautiful makes us even more vulnerable thats why sesb isnt sitting on the sidelines were reinforcing our towers upgrading our monitoring systems and doing everything we can to build resilience into our grid but beyond the technical work we also see the need to shift mindsetsours our partners and the publics climate change isnt just the responsibility of scientists and ngos its everyones problem and in our case its directly linked to whether homes have light hospitals have power and industries keep moving if we want to keep the lights on we have to care about the earth were standing on so yes sabah electricity supports sdg13 fully not because someone told us to but because weve seen what happens when we dont the path forward means embracing sustainability in real practical ways not only for the environment but for the future of electricity in sabah,en,negative,
Sabah’s sustainable palm oil vision: Leading way for people and planet,this regular oped column features wwfmalaysias perspectives on pressing environmental issues and events unfolding in sabah as an environmental conservation ngo we also use this space to share our views on potential policy shifts that sabahs leaders can implement to foster a greener and more sustainable future for the state oil palm was first introduced to malaya as an ornamental plant before 1875 commercial planting began in 1917 in selangor and largescale expansion of palm oil in sabah took off in the 1970s throughout the country the expansion was part of the governments diversification strategy to reduce its reliance on rubber and timber the federal land development authority felda and plantation companies were tasked to drive this expansion in sabah companies such as sabah softwoods berhad started their first oil palm planting in the early 1980s by 1998 the development of oil palm had reached more than 800000 hectares the industry has since grown to be a major economic force in the state in 2023 sabah became the largest crude palm oil cpo producing state in malaysia producing 45 million tonnes of crude palm oil cpo out of 15 million hectares of plantation area while generating economic revenue the development of the palm oil industry has impacted sabahs rich biodiversity in just over 15 years between 2002 and 2017 land clearing and conversion of forest for palm oil production have reduced the population of orangutans by 30 recognising this sabah has shifted towards sustainability by emphasising the need for development to be amply balanced by biodiversity conservation rather than seeing the need for development and biodiversity conservation as conflicting priorities sabah has charted a bold path that unites them showing that it is possible to protect forests and wildlife while cultivating prosperity by embracing sustainability at scale the state is emerging as a global leader in producing palm oil that works for both people and the planet sabah has proven that palm oil production does not have to come at the expense of the environment in fact it can be a solution the future lies not in choosing between forests or farms but in making them work together,en,neutral,
Guardian of the rainforest’s biodiversity,sabah is a beacon of biodiversity located within one of the megabiodiversity hotspots in the world it is the extraordinary diversity of habitats from mountain top to ocean deep that harbours such a vast wealth of flora and fauna the flora of sabah is one of the most notable natural features the worlds tallest tropical tree richetia faguetiana is found in sabah measuring 1008 m in height the worlds largest pitcher plant nepenthes rajah is also found in sabah new species are still being discovered such as nepenthes pongoides which was only discovered last year sabah is also home to about 10 of the worlds orchids and three species of the worlds largest flowers rafflesia with the top three highest peaks in malaysia and borneo the montane forests house many rare interesting and endemic species the natural ecosystems of sabah support a vast diversity of wildlife it is home to the iconic orangutan proboscis monkey tembadau pygmy elephant sun bear various interesting birds and a myriad of insects achieving sfm has been one of the main agendas of sabah forestry department sfd as emphasized by the chief conservator of forests datuk frederick kugan biodiversity conservation is an important component in sfm in protecting the forest resources some notable milestones have been achieved such as the establishment of totally protected areas tpas the heart of borneo hob initiative the designation and management of the lower kinabatangansegama wetlands lksw as a ramsar site mangrove forest management and restoration forest monitoring and enforcement and forestry research in biodiversity conservation,en,positive,
"Sabah’s extraordinary natural treasures to be preserved for next 1,000 years",sabah parks remains steadfast in its mission to preserve the states extraordinary natural treasures for the next 1000 years said tourism culture and environment minister datuk seri panglima christina liew liew said that through fostering local community partnerships advancing green technology and strengthening international collaborations sabah continues to lead the way in sustainable conservation ensuring harmony between its people and nature for generations to come speaking at sabah parks diamond jubilee celebration today liew said that it has achieved numerous milestones that cement its place as a leader in environmental conservation the key achievements in conservation and global recognition included bilateral cooperation for turtle conservation crocker range biosphere reserve recognized as a unesco biosphere reserve on june 12 2014 hosting the 2nd iucn asia parks congress in 2022 unesco global geopark status for kinabalu geopark in 2023 marking sabahs third unesco recognition this accolade established sabah as one of only three locations worldwide to achieve the unesco triple crown status symbolizing its commitment to conserving natural heritage for future generations on december 7 2024 sabah parks received the chief ministers special award recognizing its role as a global leader in conservation sustainability and community development liew added as sabah parks celebrates 60 years of dedicated service it oversees nine state parks featuring 24 recreational zones and nine control posts looking ahead four areas are proposed for gazettement namely darvel bay lahad datu mengalum island kota kinabalu mantanani waters kota belud and the mamut former mining area ranau she disclosed these initiatives align with malaysias commitment to the convention on biological diversity cbd and the kunmingmontreal global biodiversity framework gbf particularly the 30×30 target to protect 30 of the nations biodiversity areas by 2030 present at the event were chairman of sabah parks peter lintar director of sabah parks dr maklarin lakim ranau district officer tinus manggam and sabapak eco sdn bhd ceo remysta taylor,en,positive,
DaMaI Rainforest Programme boosts conservation awareness in Sabah’s ‘Lost World’,efforts to strengthen awareness and local community involvement in the conservation of sabahs natural heritage have been successfully intensified through the implementation of the damai rainforest landscape awareness programme held from may 21 to 23 at the iconic maliau basin conservation area in maliau basin often referred to as the lost world of sabah the programme was organised through a strategic collaboration under a memorandum of understanding between the yayasan sabah group and the sabah environmental trust set the ceremony was officiated by the assistant minister of industrial development and entrepreneurship sabah cum member of parliament for kalabakan datuk andi muhammad suryady haji bandy also in attendance were the nabawan district officer marshal anthony sook district officer caroline benjamin jiungan and the group manager of the conservation and environmental management division dr waidi sinun who represented the director of yayasan sabah the programmes primary objective is to enhance public understanding of the ecological significance of the damai rainforest landscape and its potential to be recognised as a unesco world heritage site more than just an informative effort the programme seeks to actively empower local communities to protect this biologically rich and invaluable natural heritage in addition the programme helps promote the damai initiative to advance conservation efforts within the conservation areas under the purview of the yayasan sabah group a total of 88 participants took part in the programme comprising representatives from state government agencies nongovernmental organisations ngos staff of the yayasan sabah group and community leaders from the districts of kalabakan nabawan sapulut tawau and sook this reflects the ongoing commitment to strengthening community collaboration in conservation efforts under the damai initiative yayasan sabah group remains steadfast in its commitment to cultivating a deep appreciation for the environment while empowering communities to play a pivotal role in advancing conservation efforts across sabah the maliau basin with its unparalleled beauty and ecological significance not only embodies the states rich natural heritage but also serves as a powerful symbol of hope it is a reminder that this invaluable natural legacy can be safeguarded and passed on to future generations through collective awareness collaboration and unwavering commitment,en,positive,
Empowering coastal communities for climate resilience and conservation,the sabah community environmental leadership camp celc 2025 themed resilience community  ecosystems  climate change adaptation has successfully concluded after an intensive eightday program designed to empower 36 grassroots community leaders from 18 communitybased organisation or coastal and island villages across malaysia to lead for a change in their community participants from semporna tawau kunak lahad datu sandakan kinabatangan kota belud and kudat along with representatives from redang and tioman islands in peninsular malaysia underwent training to enhance their awareness of the climate change crisis affecting their homelands in addition to increasing their understanding of the issue they also participated in brainstorming sessions to identify key challenges and develop potential solutions the camp was officially inaugurated by the assistant district officer of semporna hj abdul azis bin abd bool emphasized the crucial role of coastal communities in environmental stewardship climate change has a direct impact on the sea and those living in coastal and island communities are the first to face its challenges hence our coastal and island communities are on the frontlines of environmental change their leadership needs to be strengthened there needs to be knowledgesharing among them and they need to be empowered to take action towards sustainable solutions i am happy that the camp provides that and proud to see passionate individuals coming together to make a difference he said during the event organized by green semporna and reef check malaysia with the support of youth environment living lab yell and dhi malaysia the boot camp brought together experienced and wellknown speakers from various institutions and organizations these experts delivered insightful sessions on coastal and marine conservation climate resilience community leadership and sustainable livelihood development the camp also featured interactive activities to foster collaboration and handson learning this program includes community sharing the impact of climate change on the environment and marine species as well as the importance of conservation and resource management there are sessions on community empowerment through economic initiatives leadership youth advocacy and gender equality participants are also introduced to resource mapping art as a medium for advocacy and digital communication interactive activities include simulation meetings climate film production iklim got talent and conservation actions in mabul the program concludes with project pitching where participants pitched their ideas to win the sabah celc mini grant 2025 the sabah celc is more than just a training camp  its a movement we are empowering local champions with the skills knowledge and networks they need to drive change within their communities by supporting grassroots conservation efforts we are creating a ripple effect for lasting impact said adzmin fatta program lead for sabah celc 2025  programme manager at reef check malaysia one common challenge addressed by the participating communities is beach erosion caused by rising sea levels this issue has severely impacted several coastal areas leading to the destruction of numerous homes additionally saltwater intrusion has made well water and groundwater increasingly saline further affecting daily life and resources a key camp activity is climate action day a fullday citizen science event on mabul island participants work in groups to conduct seagrass monitoring beach profiling and water quality monitoring while also engaging in coral reef restoration and community climatestories filmmaking this handson experience helps them develop practical skills to document and address environmental issues in their communities it also deepens their appreciation for nature and raises awareness of the urgent threats posed by climate change we need to integrate scientific knowledge with local wisdom to create effective communitydriven climate adaptation initiatives this camp provides an excellent platform for such collaboration said profesor madya ts dr ejria saleh from universiti malaysia sabah who was one of the speakers during the camp we can see the multifold benefits of initiatives like the celc project creating the opportunity for coastal communities to access leadership training and minigrants facilitates building skills confidence and resilience of the community to adapt to climate and environmental threats but other emerging challenges said lim su jin youth environmental living labs coordinator as part of the programs commitment to longterm impact 11 mini grants worth rm2000 each were awarded to 11 winning teams during a project pitching session these grants will fund communityled conservation initiatives ranging from citizen science to livelihood projects to be implemented from april to august 2025 grassroots leadership is at the heart of environmental conservation it is inspiring to see these dedicated individuals taking ownership of their natural resources and working towards sustainable solutions said nurasikin jajim the programme coordinator for green semporna this camp has given me valuable skills and confidence to lead environmental initiatives back in my village the connections i made here will help me strengthen community efforts in conservation said abdul rasyid a participant from selakan island i have gained so much from this experience  from project planning to advocacy skills i look forward to implementing my ideas and inspiring others in my community said intan baljana a participant from kudat the sabah community environmental leadership camp 2025 marks a crucial step in strengthening grassroots conservation leadership in malaysias coastal regions by equipping participants with knowledge resources and networks the initiative is fostering a new generation of community leaders dedicated to marine conservation and climate action,en,positive,
Sabah aims to turn elephants from nuisance to tourism treasure,tourism culture and environment minister datuk seri christina liew wants the perception of elephants being seen as a source of conflict and nuisance to be shifted to being recognised as an asset for the states tourism environment and heritage accordong to her sabah is home to the smallest elephant in the world a species found nowhere else on earth while this unique trait makes them a valuable tourism asset their existence is increasingly threatened by habitat loss and humanwildlife conflict today as we gather to discuss and develop strategies for their conservation we have an opportunity to ensure that future generations will continue to witness these gentle giants roaming our forests she said at the launch of the captive elephant management plan and bornean elephant conservation symposium on wednesday i believe the discussions being held in this symposium are vital in shaping the future of bornean elephants we need to strike a delicate balance  one that allows for both the welfare of our people in sabah and the conservation of elephants to coexist in harmony we must aim for solutions where both communities and elephants benefit we have seen successful examples of turning environmental challenges into opportunities the transformation of sea turtle egg collection into a thriving hatcherybased tourism product is a prime example can we do the same for elephants can we shift the perception of elephants from being seen as a source of conflict and nuisance to being recognised as an asset to our tourism environment and heritage she asked the reality is that humanelephant conflict exists however liew said instead of seeing it as a burden all parties must explore ways to turn this challenge into a positive impact for local communities she added communitybased conservation ecotourism initiatives and compensation schemes are some avenues worth exploring at the same time we must strengthen enforcement to protect our elephants poaching and illegal killings must be met with strict prosecution to deter future offences snare traps the silent killer of our wildlife must also be eradicated this requires increased patrolling active removal of traps and harsher penalties for offenders only through decisive action and unwavering commitment can we ensure true protection for our wildlife not just for bornean elephant she added liew also said that the captive elephant management plan represents a significant step forward in improving the standards of elephant care in sabah it is also one of the key outputs of the bornean elephant action plan reinforcing commitment to ensure best exsitu practices for elephant management and longterm conservation efforts our goal is clear  we want our captive facilities such as the bornean elephant sanctuary and lok kawi wildlife park to be recognised internationally as centres of excellence these facilities provide a haven for elephants that cannot be immediately released into the wild while also supporting rehabilitation and eventual reintroduction particularly at the bornean elephant sanctuary they play a vital role in conservation education research and sustainable tourism proper training resources and recognition for elephant keeper are essential to their work investing in better infrastructure will enhance elephant welfare and elevate the tourism experience a wellmanaged sanctuary and captive elephant centre will strengthen conservation efforts while boosting sabahs tourism appeal attracting visitors eager to support ethical wildlife conservation she said with the implementation of the captive elephant management plan and the insights gained from this symposium liew is confident that sabahs efforts in bornean elephant conservation will be taken to new heights by working together  government bodies conservationists ngos and local communities liew believed all relevent parties can create a model of conservation that will be recognised internationally let this moment serve as a commitment that we will not allow the bornean elephant to be pushed toward extinction instead let us pledge to protect preserve and coexist with these magnificent creatures for generations to come she concluded also present at the event were the ministrys permanent secretary datuk josie lai director of the sabah wildlife department mohd soffian abu bakar elephant conservation lead oregon zoo dr sharon s gleaser and president of malaysian association of zoological parks and aquaria mazpa dr kevin lazarus,en,positive,
