No.,Title ,Content,Language
27,Mitigating climate change impact in Sabah,"THE Sabah Government is taking proactive steps to address climate change and global warming challenges with the establishment of the Sabah Climate Action Council (SCAC) and significant funding for mitigation and adaptation initiatives.
The Council, chaired by the State Secretary, plays a crucial role in setting the direction and coordinating mitigation and adaptation projects across Sabah.
Chief Minister Datuk Seri Hajiji Noor said a Climate Change Unit has also been set up within the Sabah Forestry Department as the Interim Secretariat for the SCAC, since forestry plays a key role in climate change management under the Greenhouse Gas (GHG) sector, specifically in Land Use, Land Use Change & Forestry (LULUCF).
The State Government has allocated RM3 million per year to the Climate Change Unit for implementing climate change mitigation and adaptation initiatives. 
“In 2024, the unit focused on two key components: the Greenhouse Gas (GHG) Inventory and a study on Climate Change Impacts, Vulnerability and Adaptation in Sabah,” said Hajiji.
“These components must be implemented urgently, as they serve as the foundation for Sabah’s climate change policy and carbon trading framework. It is also crucial for assessing the feasibility of carbon-related projects in the State,” he said.
Since its setting up in 2022, the SCAC is tasked with overseeing all climate-related initiatives in Sabah. At the 4th SCAC meeting on Aug 2, 2024, a Technical Working Group (TWG) on Vulnerability and Adaptation was proposed, led by the Sabah Tourism, Culture and Environment Ministry.
Hajiji highlighted that Sabah successfully completed consultancy services for the development of the Sabah Climate Change Policy in July 2024. This policy specifically focuses on two core components – Development of Sabah’s GHG Inventory and Study on the Impacts, Vulnerability and Adaptation to Climate Change in Sabah.
“The Sabah Government remains committed to strengthening resilience against climate change. By ensuring strategic planning, dedicated funding and inter-agency cooperation, we are positioning Sabah to better manage and mitigate the effects of climate change,” he said.
Asked on the SCAC’s recommendations to the Sabah Government, Hajiji said the SCAC has actively engaged in discussions regarding the impacts of climate change in Sabah since inception in 2022. 
“Matters related to the vulnerability, impacts and adaptation of climate change in Sabah were discussed in detail during the SCAC’s first meeting in 2022,” he said. “These discussions were an integral part of a comprehensive study conducted by Aurecon Lestari Sdn Bhd, which has recently been completed.”
A Cabinet Paper outlining actions based on the consultancy’s findings and recommendations is being prepared by the SCAC Secretariat.
Additionally, he highlighted that the Natural Resource Office (NRO) is working on a separate Cabinet Paper focused on the institutional setup and governance of the Climate Change Division within the NRO, as proposed during the fourth SCAC meeting.
“Furthermore, we are establishing other Technical Working Groups (TWGs) that will address climate change issues in Sabah, including those related to Communication, Educationa and Public Awareness (CEPA) and technology,” he said.
On the achievements made in Sabah’s green initiatives under the Hala Tuju Sabah Maju Jaya (SMJ) Development Plan, the Chief Minister said green sustainability refers to the responsible use and management of Sabah’s natural resources, ensuring that “we meet current needs while allowing future generations to do the same.” 
Hajiji emphasised the importance of integrating environmental protection with human development, particularly in the forestry sector. 
He highlighted significant strides Sabah has made in sustainable forestry.
“Our conservation programmes, sustainable forestry initiatives and community development projects are clear evidence of our commitment to sustainability. However, our journey does not end here; we must continue to innovate, adapt and strive for excellence in our practices.”
He said key achievements include:
Sabah’s 2nd Strategic Action Plan (SPA): Launched at the first Heart of Borneo (HoB) Symposium in 2022, this plan serves as a comprehensive roadmap to tackle environmental challenges, promote sustainable land use and support biodiversity conservation in the HoB region.
Forest Plantation Development Action Plan (2022-2036): This long-term master plan aims to ensure a sustainable timber supply for the wood industry while enhancing the quality and productivity of forest plantations, ultimately fostering economic growth alongside natural forest preservation.
Sabah Climate Action Council (SCAC): With the Sabah Forestry Department appointed as the Secretariat, this council is tasked with coordinating efforts to mitigate and adapt to climate change, integrating forestry within broader climate response strategies.
Sabah 25-Year Master Plan: Currently in its finalisation stages, this comprehensive plan will guide the long-term objectives of the Sabah Forestry Department, focusing on sustainable resource management and socioeconomic growth.
Sabah Mangrove Action Plan (SMAP): Launched at the Sabah International Blue Economy Conference (SIBEC) 2024, SMAP aims to guide the planning and management of mangrove forests, underscoring Sabah’s dedication to coastal protection, biodiversity and carbon sequestration.
Sabah Maju Jaya (SMJ) Plan: Sustainability is a central element of the Green Infrastructure Network and Sustainability Pillar included in this plan.
Looking ahead, Hajiji said Sabah aims to expand reforestation efforts, incorporate advanced technology in forest management and strengthen international collaborations. 
“Through the Sabah Forestry Department, we are determined to develop a resilient and sustainable forestry sector that not only meets today’s needs but also protects resources for future generations,” he said. 
Forests as lifeline for future generations
SABAH remains committed to preserving its forests and planting more trees as part of its ongoing efforts to minimise the impact of global warming. 
CM Hajiji reiterated the Sabah Government’s dedication to maintaining forest conservation policies, recognising the crucial role forests play in climate mitigation.
“Sabah will continue its policy of maintaining and expanding forested areas while implementing tree-planting initiatives to combat the effects of climate change. Our forests are among our greatest assets, and we must protect them for future generations,” he said.",en
28,Sabah Forestry and French group to collaborate on agroforestry research deal,"Sabah Forestry Department (SFD) and the French Agricultural Research Centre for International Development (CIRAD) have signed a Letter of Intent (LoI) to formalise a collaborative partnership on TRAILS 2, a long-term agroforestry research initiative aimed at transforming oil palm landscapes to support both biodiversity and sustainable productivity.
TRAILS 2, short for Agroforestry Plantations for Biodiversity and Ecosystem Services, represents an ambitious step toward reconciling environmental conservation with agricultural development. 
The project seeks to assess innovative oil palm-based agroforestry systems that integrate native tree species, improve ecological connectivity, and deliver critical ecosystem services such as soil fertility, microclimate regulation, and habitat provision for wildlife. 
The study site is at Melangking Oil Palm Plantation in Sukau, where the company has set aside some 100 ha for this biodiversity research. The LoI, signed at SFD Headquarters in Sandakan, reflects a shared commitment to addressing pressing global challenges—deforestation, biodiversity loss, and climate change—through science-based approaches tailored to tropical ecosystems. It also paves the way for more resilient land management practices in the face of increasingly unsustainable monoculture plantation models.
As part of the collaboration, SFD will facilitate coordination with key regulatory agencies, such as the Sabah Biodiversity Centre and the Department of Agriculture to ensure the TRAILS 2 project aligns with local and national legal frameworks. 
In addition, the Forest Research Centre Sepilok, the research arm of SFD, will provide technical guidance and support in forest ecology and long-term monitoring. In addition, CIRAD is also working with HUTAN, an NGO led by Dr Marc Ancrenaz on wildlife monitoring.
Datuk Frederick Kugan, Chief Conservator of Forests, represented by Indra Sunjoto, Deputy Chief Conservator of Forests (Planning & Management), stated this partnership with CIRAD reinforces Sabah’s leadership in sustainable forestry.
TRAILS 2 opens new opportunities to demonstrate that oil palm production and biodiversity conservation can co-exist through thoughtful land-use innovation.
While Professor Alain Rival, representing Dr Jean Marc Roda, the CIRAD Regional Director for Southeast Asian Island Countries, commented, with TRAILS 2, they want to move beyond debate and put our research and development partnership into action. 
Long-term field experiments and accurate monitoring are essential to build scientific evidence for sustainable agroforestry, especially in complex landscapes such as Sabah.
The research will explore multiple agroforestry configurations—from interplanted native tree rows to forest islands embedded within plantations—while monitoring their effects on biodiversity, ecosystem services, and palm productivity. 
Findings from TRAILS 2 are expected to provide robust data to guide growers, policymakers, and conservationists toward regenerative oil palm-based systems.",en
29,Firm’s bid to restore mangroves,"A total of 300 mangrove saplings were planted at Sankina Aquaculture Sdn Bhd’s shrimp farm in Apas Parit under a joint environmental initiative to restore coastal ecosystems and enhance biodiversity.
The programme involved the planting of 200 mangrove saplings of bakau api-api (Avicennia alba) sourced from nearby mangrove areas and 100 mangrove saplings of bakau minyak (Rhizophora apiculata) donated by Tawau District Forestry Office aiming to restore coastal ecosystems and enhance biodiversity. 
This effort builds upon Sankina’s ongoing environmental initiatives, including a similar programme in 2023 in collaboration with Politeknik Sandakan and WWF-Malaysia, where 150 mangrove saplings were planted to promote awareness of mangrove conservation among students and the local community.
The programme is a collaborative initiative between Sankina Aquaculture Sdn Bhd and Nichirei Fresh Inc, a core subsidiary of the Nichirei Group, which stands at the forefront of Japan’s premium food industry. Established in 2005, the company has become a trusted leader in delivering freshness, safety, and culinary excellence across Japan and beyond. 
Nichirei Fresh Inc demonstrates a robust commitment to environmental sustainability, particularly in preserving and restoring vital mangrove ecosystems integral to the health of coastal environments and the seafood industry including the Inochi-no-Mori Project, a collaborative mangrove reforestation initiative in Kalimantan, Indonesia, aimed at mitigating the environmental impacts of shrimp farming and promoting sustainable aquaculture practices since 2006.
The Mangrove Tree Planting initiative also received collaboration and support from Seafood Solutions PLT, the Tawau District Forestry Office, the Tawau District Fisheries Office, and WWF-Malaysia. 
The Mangrove Tree Planting programme is aligned with Sankina Aquaculture’s core mission to foster responsible aquaculture practices while actively preserving and restoring natural ecosystems. 
Sankina Aquaculture Sdn Bhd extended its sincere gratitude to Nichirei Fresh Inc, Tawau District Forestry Office and WWF-Malaysia for their generous sponsorship and unwavering support towards the success of the mangrove planting programme.
Sankina Aquaculture’s journey toward sustainability began in 2011, culminating in 2023 when it became the first shrimp farm in Malaysia to receive ASC certification. 
The achievement was the result of implementing the Aquaculture Improvement Project (AIP) in partnership with WWF-Malaysia, focusing on mangrove restoration, wastewater management, and worker welfare.
Managing Director Jenny Ou expressed pride in the company’s accomplishments, stating, “Achieving ASC certification and leading environmental initiatives like today’s mangrove planting reflect our dedication to responsible aquaculture practices and environmental conservation.
Present at the event were Nichirei Fresh Inc representatives Motohiro Kiuchi and Ryunosuke Hagiwara, Seafood Solutions PLT’s Peter Choo, Tawau District Forestry Officer Kee Nooridayu Mohd Ayub, Tawau District Fisheries Office representative Saifuddin Hj. Husin, and WWF-Malaysia Aquaculture Improvement Officer Chor Wei Kang.
The Mangrove Tree Planting Programme not only contributes to environmental restoration but also serves as a model for sustainable practices in the aquaculture industry, aligning with global efforts to balance economic growth with ecological responsibility.",en
30,Nik Nazmi resigns as Natural Resources and Environmental Sustainability Minister,"Nik Nazmi Nik Ahmad has resigned as Minister of Natural Resources and Environmental Sustainability, effective July 4.
In a statement, Nik Nazmi said he had submitted his letter of resignation as a member of the Cabinet to Prime Minister Datuk Seri Anwar Ibrahim.
“I will be on leave from tomorrow until July 3,” he said.
Nik Nazmi said that since his appointment to the Cabinet as Minister of Natural Resources, Environment and Climate Change in December 2022 and subsequently as Minister of Natural Resources and Environmental Sustainability, he had done his best to implement much-needed reforms. He said the achievements of both ministries included amendments to the Environmental Quality Act 1974 (Act 127) and enhanced transparency in the reporting of Environmental Impact Assessments (EIA).
Nik Nazmi said that his failure to retain the vice-president post in the recent Parti Keadilan Rakyat (PKR) election prompted his decision to resign as minister.
“I would like to express my deepest appreciation to the dedicated civil servants, my outstanding office team, and all those from the public sector, private sector, and civil society who taught me so much and made it possible to implement various important reforms throughout this period.
“We consistently sought to adopt an open and consultative approach in formulating policies and introducing legislation,” he said.
Nik Nazmi failed to retain his PKR vice-presidency in a highly competitive contest featuring 11 candidates last week.",en
31,How thermal energy can unlock Sabah’s economic potential,"The recent enactment of the Ocean Thermal Energy Conversion (OTEC) law by the Sabah Legislative Assembly marks a pivotal step towards sustainable development.
Beyond generating renewable energy, OTEC technology offers a multitude of benefits that can significantly enhance Sabah’s economy and the well-being of its people.
Desalinated Water Production
Otec systems inherently produce fresh water as a byproduct, addressing water scarcity issues prevalent in many regions. This desalinated water can support agriculture, provide potable water to communities, and reduce reliance on traditional, energy-intensive desalination methods.
Aquaculture Enhancement
The nutrient-rich deep ocean/sea water (DOW) used in OTEC processes can be channelled into aquaculture, fostering the cultivation of high-value marine species.
This not only boosts local food production but also creates employment opportunities in fisheries and related industries.
Agricultural Productivity
Soil cooling systems can utilize DOW’s cool temperatures to cultivate temperate crops in tropical climates. This diversification can lead to increased agricultural yields and the introduction of new crops to the market, benefiting local farmers and consumers alike.
Tourism Development
Integrating OTEC facilities with tourism can create unique attractions, such as spas and wellness centres that use the mineral-rich DOW.  This can attract tourists seeking novel experiences, thereby boosting the local tourism industry and generating additional revenue.
Air Conditioning Efficiency
District cooling systems can use the cold seawater from Otec systems as an energy-efficient alternative to air conditioning in urban areas.
This reduces electricity consumption and operational costs, contributing to more sustainable urban development.
Green hydrogen production.
Otec technology facilitates the production of green hydrogen, a clean fuel with applications in various industries, including transportation and manufacturing.
Developing a green hydrogen economy can position Sabah as a leader in renewable energy innovation.
Environmental Conservation
By reducing reliance on fossil fuels, Otec contributes to lower greenhouse gas emissions, aiding in the fight against climate change. Additionally, the sustainable use of ocean resources promotes marine conservation efforts.
Educational and research opportunities.
The implementation of Otec projects can serve as a platform for scientific research and education, fostering innovation and knowledge transfer.
Collaborations with academic institutions can lead to advancements in marine sciences and renewable energy technologies.
Community Empowerment
Participating local communities in Otec projects guarantees the equitable distribution of benefits.
Capacity-building initiatives can equip residents with the skills needed to participate in and sustain these projects, promoting inclusive development.
Economic Diversification
The multifaceted applications of Otec technology can stimulate various sectors, from agriculture to tourism, leading to a more resilient and diversified economy.
This reduces dependence on traditional industries and opens new avenues for growth.
Human resource development and technology transfer.
The adoption of OTEC technology necessitates special skills and knowledge, prompting the development of targeted educational and training programs.
The emphasis on human resource development equips the local workforce to manage and operate OTEC facilities, promoting a culture of innovation and technical proficiency.
Collaborations with international experts facilitate the transfer of technology, enabling Sabah to build local expertise and reduce dependence on external resources.
Upstream and downstream business opportunities.
Otec technology stimulates a spectrum of business opportunities. Upstream activities include research and development, engineering, and manufacturing of OTEC components, which can invigorate local industries and create high-skilled jobs.
Downstream, the benefits extend to sectors such as agriculture, aquaculture, tourism, and water supply, all of which can leverage the outputs of Otec systems to enhance their operations and services. This integrated approach fosters a robust economic ecosystem, driving sustainable development across the state.
Otec law represents a transformative opportunity for Sabah. By harnessing the ocean’s thermal energy, the state can unlock a spectrum of benefits that drive economic growth, environmental sustainability and social well-being. 
Strategic planning and community involvement will be crucial in realising the full potential of OTEC technology, paving the way for a prosperous and sustainable future for Sabah.",en
32,Nearly 300km Sabah’s coast under assault,"ACCORDING to Department of Irrigation and Drainage (DID), some 295.5km of Sabah’s 1,743km coastline is in danger of being lost to the sea. 
Among these, 12.8km have been classified as critical (Category 1), 3.5km as significant (Category 2), and 279.2km as acceptable (Category 3).
This was based on the National Coastal Erosion Study in 1985 conducted by the Federal Government to classify and mitigate erosion-prone areas.
Recognising the threats, the National Coastal Erosion Council requested the Federal Economic Planning Unit (EPU) in 1995 to develop guidelines for erosion control in development projects. 
This led to the formulation of the “Guidelines on Erosion Control for Development Projects in the Coastal Zone”, which received Federal Cabinet approval on January 29, 1997, for implementation.
The Sabah Government prioritises minimising negative environmental impacts from marine reclamation projects while ensuring socioeconomic benefits within a sustainable framework. 
To achieve this, the Sabah Environment, Tourism Development, Science and Technology Ministry, in collaboration with DID and the Town and Regional Planning Department (TRPD), implemented an overarching Shoreline Management Plan (SMP). 
This plan designates areas for development and conservation along the West Coast, stretching from Ambong Bay in the North to Menggalong River in the South.
To further standardise environmental safeguards, Terms of Reference (TOR) for Detailed Environmental Impact Assessment for Marine Reclamation were formulated to ensure Environmental Impact Assessment (EIA) compliance for marine reclamation project approvals.
Additionally, supporting TORs for Environmental Monitoring and Management of Marine Reclamation projects provide guidelines for sustainable coastal development.
DID Sabah works closely with its Federal counterpart, for the planning and designing of coastal erosion control, river mouth improvement works and the cleaning of recreational beaches as well as collection and dissemination of data related to coastal engineering. DID Malaysia, with co-ordination from DID Sabah, has carried out three feasibility study projects by consultant for three areas namely Tinagat-Batu Puyong near Tawau, Tungku near Lahad Datu and Tanjong Aru-Kinarut coastal zone near Kota Kinabalu which are classified as Catergory 1 in Sabah.
DID Sabah is also working closely with other government departments/agencies involved in coastal zone management. 
Meanwhile, Malaysian Association of Environmental Health Secretary Rudiaswady Abdul Rahim in January 2024 raised concerns over the ongoing coastal erosion affecting Malaysia, particularly in Sabah and Sarawak. 
Overall, Malaysia’s 8,840km coastline faces significant challenges, with 1,347.6km affected by erosion and 431.3km classified as critical and significant.
Given that the data originates from 2015, Rudiaswady highlighted the urgent need for updated assessments. “We lack insights into the current state of coastal erosion.
But one thing is certain, it is deeply concerning that we may be losing our beautiful beaches,” he warned.
He urged the Government to conduct a comprehensive survey on coastal erosion and implement a holistic strategy incorporating nature-based solutions, hybrid strategies, early warning systems and investments in nature-based infrastructure to mitigate further damage.
Jellyfish blooms linked to climate change
CLIMATE change has altered the distribution patterns of sea turtles in Sabah, primarily due to rising sea temperatures, shifting ocean currents and habitat loss. 
Dr Madihah said recent observations in Sabah suggest possible shifts in hawksbill turtle nesting sites.
“For many years, hawksbills have primarily nested on Pulau Gulisaan in Turtle Islands Park (Sulu Sea). However, a hawksbill turtle with flipper tags from Turtle Islands Park was recently recorded nesting in Semporna (Celebes Sea). This raises important questions about whether some turtles are beginning to explore alternative nesting beaches. 
“This may be linked to habitat degradation, as severe erosion has impacted the main hawksbill nesting site in Turtle Islands Park, potentially forcing turtles to seek new nesting grounds,” she said.  
On a global scale, she said shifting nesting sites have already been documented as a response to climate change. Warmer temperatures are pushing certain species, such as leatherbacks, further north, and some nesting seasons are expanding. 
While extensive long-term monitoring is needed to confirm similar trends in Sabah, these local and global shifts highlight the need for conservation strategies to protect potential new nesting areas and enhance resilience against climate-driven habitat changes.
“There has also been an increase in the sighting and frequency of mass jellyfish blooms in Sabah’s waters, which could be an indicator of climate change,” she added.  Dr Madihah also noted changes in the composition, abundance and size of fish species in commercial landings, as evidenced by the Annual Fisheries Statistics (published by Sabah Fisheries Department) and personal field observations since the late 1990s. 
This ecological shift is known as “mesopredator release” where mesopredator populations increase due to the decline of apex predators, particularly large sharks and groupers.  
However, she explained that shifts in the distribution of key marine species due to climate change are not yet particularly evident. The dominant coral species in Sabah, Acropora and Porites, continue to thrive despite environmental changes, demonstrating their resilience compared to other more vulnerable species.  
Asked about the implications for local fisheries and communities dependent on these resources, Dr Madihah highlighted the impact of jellyfish blooms.  
“Jellyfish feed on plankton, including commercial fish larvae, which can lead to a decline in certain fishery stocks. Additionally, jellyfish blooms can clog fishing gear, causing operational challenges for fishermen. Their increasing frequency also affects marine tourism, particularly activities such as snorkelling and diving,” she explained.  
Despite these environmental changes, she emphasised that ongoing conservation efforts have led to an increase in Sabah’s sea turtle populations. As a result, their shifting distribution and climate-related changes do not yet have significant direct implications for local fisheries and communities. 
Tropical storms now lash Sabah
TROPICAL Storm Greg devastated the State in 1996, affecting over 17,000 people and destroying nearly 5,000 houses. While the direct marine impacts were not well documented at the time, Dr Madihah said “heavy rainfall and flooding likely contributed to increased sedimentation and pollution in coastal waters, harming marine habitats.”
Similarly, Tropical Storm Hilda in 1999 caused widespread flooding and landslides, particularly along the West Coast. Like Tropical Storm Greg, the heavy rainfall would have increased runoff into coastal areas, potentially harming marine habitats. 
“Rising sea levels and storms due to climate change is leading to more frequent and intense storms, which, combined with rising sea levels, exacerbate coastal erosion and threaten marine ecosystems in Sabah.” 
Countering fish catch decline
SABAH’S fishing communities are facing increasing challenges as fish population declines due to climate change, habitat degradation and overfishing. Experts warn that commercial reef fish such as grouper and snapper are becoming scarcer, particularly in non-protected reef areas.
“Based on information we get from the local fishing community, commercial reef fishes like grouper and snapper are reducing,” said Dr Madihah. 
The response has been to target ‘less favourable’ species. 
“For example, species that used to be not fish for food are now available in the fish market. These communities are finding alternative livelihoods to adapt to declining seagrass health.”
The Fisheries Department is implementing management strategies, including regulating fishing activities. One such is using satellite assistance called iivms to track shoals. 
More high biodiversity and ecological important areas would also be identified and gazetted as marine parks to regulated human activities and reduce impact to marine habitats and ecosystem services. 
“The establishment of Marine Protected Areas (MPAs) Sabah also allow seagrass and other marine life to recover.”",en
33,Students get insight on climate change,"Forty students gathered at the Rainforest Discovery Centre (RDC) in Sepilok for the Youth Camp on Climate Change 2025, held from April 30 to May 2.
The three-day camp, sponsored by the state’s Youth and Sports Ministry, was organised by the Sabah Forestry Department.
It brought together participants aged 17 to 25 from Universiti Malaysia Sabah, Politeknik Sandakan, Kolej Komuniti Sandakan, Kolej Vokasional Sandakan II and Kolej Komuniti Lahad Datu.
Participants were divided into smaller groups and assigned different climate-related topics, which they later presented during the final session of the camp. Youth and Sports Minister Datuk Ellron Angin said the ministry greatly appreciates the initiative in organising the meaningful camp.
“When we were informed that 40 youth from diverse backgrounds and areas of study would gather at the Rainforest Discovery Centre to explore the issue of climate change, we were confident that such programmes deserve our attention and support.
“Your presence here shows that Malaysian youth, especially in Sabah, are not only eager to gain knowledge but also ready to take concrete steps in addressing this challenge,” he said, represented by the Ministry’s Deputy Permanent Secretary Mary Paul Mijong Dagul.
In line with this hands-on approach, the camp included workshops conducted in collaboration with Sabah Environmental Education Network (Seen) partners such as the Sabah Wildlife Department and Bornean Sun Bear Conservation Centre (BSBCC).
Sabah Forestry Department Chief Conservator of Forests Datuk Frederick Kugan said it is hoped that the Youth Camp on Climate Change would serve as a catalyst for more climate-themed initiatives in the future, with the involvement of youth from all over Sabah.
He said it is truly impressive to learn that most of the participants in this camp are not from scientific backgrounds but are passionate to learn and understand climate change issues.
“We believe that the youth, as the heirs of the future, need to be given space to understand and be involved in efforts to address this issue.
“Climate change is not just an issue for experts but a concern that needs to be understood by everyone,” Frederick said, represented by Head of Forest Research Centre Dr Arthur Chung.
Participants were divided into smaller groups and assigned different climate-related topics, which they presented during the final session of the camp.",en
34,Pan Borneo poses threat to the Tawai forest reserve,"TOUTED as a game-changer, environmentalists and conservationists have raised serious concerns about the Pan Borneo Highway project’s potential impact such as plans to cut across the biodiversity-rich Tawai Forest Reserve on the East Coast.
A recent seminar by the Sabah Forestry Department, titled “Defining Tawai: Ecological Integrity Meets Social Values”, underscored the significance of the Tawai Forest Reserve as a crucial component of Sabah’s natural heritage. 
One of the key issues discussed was the Highway cutting through Ruku Ruku Valley – an ecologically sensitive area within the reserve and plea to the State Government to consider an alternative route.
Commenting on the issue, Frederick emphasised the risks of habitat fragmentation that would be caused by the highway.
“The Pan Borneo Highway’s route through Ruku Ruku Valley threatens vital wildlife habitats, endangering species that depend on large, connected landscapes, such as the Bornean elephant and the critically endangered Bornean peacock pheasant,” he said.
Experts fear the fragmentation could also escalate human-wildlife conflicts, disrupt key wildlife corridors and diminish the genetic diversity of species within the reserve. 
Concerns were also raised about increasing encroachment and plantation expansion by quarters seizing advantage of the situation.",en
35,Why SDG13 matters to Sabah Electricity,"Climate change isn’t a distant idea anymore. It is here, and it’s already reshaping how we live and work. 
When people talk about climate change, they often picture melting ice caps or rising sea levels in faraway places. But for us at Sabah Electricity, the effects of climate change are not distant or theoretical but they are right here, on our land, impacting our grid, damaging our infrastructure, and threatening our ability to serve the people of Sabah. 
That’s why we take Sustainable Development Goal (SDG13) dedicated to Climate Action seriously. Not because it’s trendy, or because we have to, but because we’ve seen what happens when nature strikes and we aren’t prepared.
The truth is, we need climate action not as a slogan, but as a survival strategy.
Over the past year alone, we’ve experienced first-hand how natural disasters can paralyze the electricity supply in Sabah. Remember the landslide in Kampung
Nabutan? That wasn’t just a normal landslide as it occurred right near the 275kV transmission towers that are part of the backbone of our grid. 
These towers connect the west coast and east coast of Sabah, carrying roughly 200 megawatts of electricity every day. If they had fallen, the entire east coast could have plunged into darkness. 
That’s not just a technical issue but also a disruption to homes, schools, clinics, and factories. That’s the real-world consequence of not acting fast enough to protect our infrastructure from the shifting earth beneath our feet.
The condition of those towers became very critical. There was no village nearby, no people around to help, just deep forest and unstable soil. And yet, 30 of our Sabah Electricity staff, 30 from TNB, and 20 contractors went deep into those high-risk areas to prevent collapse.
They knew the stakes. They knew that for every bolt tightened, every reinforcement made, they were protecting the daily lives of thousands across Sabah.
And what about the disaster in Tenom? On 31 October 2022, the Tenom Pangi Hydro Power Station, one of Sabah’s key sources of renewable energy was hit by a massive landslide and mud flood. Three turbines were damaged. We lost 66 megawatts of generation capacity overnight. 
That’s clean energy gone. That’s a dent in our generation portfolio. That’s power we could not deliver to the people. And again, nature didn’t wait for us to be ready. It came in full force.
These are not rare events anymore. They are becoming more frequent, more intense, and costlier. Toppled electric poles, broken distribution lines, flooded substations. Every time something like this happens, it puts our system under stress.
 And every time our system is under stress, the people of Sabah feel it, whether it’s in the form of a blackout, load shedding, or delayed restoration works. This is why SDG13 matters to us, not as a formality, but as a foundation of power stability and asset protection.
Here in this company, we see SDG13 as a lifeline. When we talk about “green initiatives,” we’re not just talking about planting trees or cutting carbon, we’re talking about investing in infrastructure that survives, about building systems that bend but don’t break, and about planning for a future where power is reliable, even in the face of floods, storms, and landslides.
These things are not luxuries, they’re necessities.
That’s why for us, SDG13 Climate Action isn’t just about protecting the environment. It’s about protecting our assets, our power system, and the lives and livelihoods of the people who count on us every day.
It’s easy to overlook how much the power grid depends on the land around it staying still and predictable. But the earth is moving, the rains are heavier, the storms are stronger. And Sabah’s geography, while beautiful, makes us even more vulnerable.
That’s why SESB isn’t sitting on the side-lines. We’re reinforcing our towers, upgrading our monitoring systems, and doing everything we can to build resilience into our grid.
But beyond the technical work, we also see the need to shift mindsets—ours, our partners’, and the public’s. Climate change isn’t just the responsibility of scientists and NGOs. It’s everyone’s problem. 
And in our case, it’s directly linked to whether homes have light, hospitals have power, and industries keep moving. If we want to keep the lights on, we have to care about the earth we’re standing on.
So yes, Sabah Electricity supports SDG13. Fully. Not because someone told us to, but because we’ve seen what happens when we don’t. The path forward means embracing sustainability in real, practical ways, not only for the environment but for the future of electricity in Sabah.",en
36,Sabah’s sustainable palm oil vision: Leading way for people and planet,"This regular op-ed column features WWF-Malaysia’s perspectives on pressing environmental issues and events unfolding in Sabah. As an environmental conservation NGO, we also use this space to share our views on potential policy shifts that Sabah’s leaders can implement to foster a greener and more sustainable future for the state.

Oil palm was first introduced to Malaya as an ornamental plant before 1875. Commercial planting began in 1917 in Selangor, and large-scale expansion of palm oil in Sabah took off in the 1970s. Throughout the country, the expansion was part of the government’s diversification strategy to reduce its reliance on rubber and timber. The Federal Land Development Authority (FELDA) and plantation companies were tasked to drive this expansion.
In Sabah, companies such as Sabah Softwoods Berhad started their first oil palm planting in the early 1980s. By 1998, the development of oil palm had reached more than 800,000 hectares. The industry has since grown to be a major economic force in the state. In 2023, Sabah became the largest crude palm oil (CPO) producing state in Malaysia, producing 4.5 million tonnes of crude palm oil (CPO) out of 1.5 million hectares of plantation area.

While generating economic revenue, the development of the palm oil industry has impacted Sabah’s rich biodiversity. In just over 15 years, between 2002 and 2017, land clearing and conversion of forest for palm oil production have reduced the population of orangutans by 30%. Recognising this, Sabah has shifted towards sustainability by emphasising the need for development to be amply balanced by biodiversity conservation. Rather than seeing the need for development and biodiversity conservation as conflicting priorities, Sabah has charted a bold path that unites them, showing that it is possible to protect forests and wildlife while cultivating prosperity. By embracing sustainability at scale, the state is emerging as a global leader in producing palm oil that works for both people and the planet.

Sabah has proven that palm oil production does not have to come at the expense of the environment. In fact, it can be a solution. The future lies not in choosing between forests or farms, but in making them work together.",en
37,Guardian of the rainforest’s biodiversity,"Sabah is a beacon of biodiversity, located within one of the mega-biodiversity hotspots in the world. It is the extraordinary diversity of habitats from mountain top to ocean deep that harbours such a vast wealth of flora and fauna. The flora of Sabah is one of the most notable natural features. The world’s tallest tropical tree, Richetia faguetiana, is found in Sabah, measuring 100.8 m in height. The world’s largest pitcher plant, Nepenthes rajah, is also found in Sabah. New species are still being discovered, such as Nepenthes pongoides, which was only discovered last year. Sabah is also home to about 10% of the world’s orchids and three species of the world’s largest flowers, Rafflesia. With the top three highest peaks in Malaysia and Borneo, the montane forests house many rare, interesting and endemic species. The natural ecosystems of Sabah support a vast diversity of wildlife. It is home to the iconic orang-utan, proboscis monkey, tembadau, pygmy elephant, sun bear, various interesting birds and a myriad of insects. Achieving SFM has been one of the main agendas of Sabah Forestry Department (SFD). As emphasized by the Chief Conservator of Forests, Datuk Frederick Kugan, biodiversity conservation is an important component in SFM in protecting the forest resources. Some notable milestones have been achieved, such as the establishment of Totally Protected Areas (TPAs), the Heart of Borneo (HoB) Initiative, the designation and management of the Lower Kinabatangan-Segama Wetlands (LKSW) as a Ramsar site, mangrove forest management and restoration, forest monitoring and enforcement, and forestry research in biodiversity conservation.",en
